"pk_rider_id";"rider_full_name";"rider_number";"rider_country_iso";"rider_country_name";"years_old";"birth_date";"birth_city";"profile_picture_url";"portrait_picture_url";"number_picture_url";"helmet_picture_url";"country_flag_url";"load_date";"";"";"";"";""
"79fbbb8f-cc01-4e64-af34-f3f80e71a17e";"Alistair King";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"f4fa82de-a17d-442a-981b-38ad12f1cad9";"Allan Scott";"Sin datos";"US";"United States of America";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"3dbed318-875d-4fde-9af3-2afb53d0d812";"Alois Meyer";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 16:26";"";"";"";"";""
"cbb253b4-467a-4510-8f24-1a661d9ded1f";"Alvaro Bautista";"19";"ES";"Spain";"39";"21/11/1984";"Talavera de la Reina";"https://photos.motogp.com/riders/4/7/47b6c685-654a-483c-b1ef-09724ac9bc34/profile/main/19_Alvaro_Bautista_DS_1765.jpg";"https://photos.motogp.com/riders/4/7/47b6c685-654a-483c-b1ef-09724ac9bc34/portrait/19_Alvaro_Bautista_DS_1769.png";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/ES.svg";"19/9/2024 23:27";"";"";"";"";""
"623978f5-a99c-47c2-9b8e-95a1975c90ec";"Anders Anderson";"Sin datos";"SE";"Sweden";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"a019f0f9-b0f6-4d89-8803-964c0fc82c61";"Andre Luc Appietto";"Sin datos";"FR";"France";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"34476024-1e54-46f9-a317-39eae8186827";"Andre Pogolotti";"Sin datos";"FR";"France";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 11:59";"";"";"";"";""
"06989a4b-12bc-4cb5-bad6-bb8dab9097f3";"Andrea Dovizioso";"4";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 23:27";"";"";"";"";""
"a1850983-97b7-4a7e-8139-8ea68d10c3ab";"Andrea Georgeades";"Sin datos";"CA";"Canada";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"06b40f46-736c-4228-ae0c-d2d85a07af44";"Andrea Iannone";"29";"IT";"Italy";"34";"09/08/1989";"Vasto";"https://photos.motogp.com/riders/b/2/b2b3e40d-457a-4fa2-b552-752d4dea4f9d/profile/main/29-Andrea-Iannone-_DS03115.png";"https://photos.motogp.com/2019/riders/motogp/grid/original/rider_6848_1554806231.jpg";"https://photos.motogp.com/2019/dorsales/3/6848.png";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/IT.svg";"20/9/2024 09:38";"";"";"";"";""
"50a69dde-da30-40be-a244-97f5b84b938b";"Andreas Hofmann";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"d16a370c-f836-4313-9f78-406a9aec661e";"Andreas Meklau";"Sin datos";"AT";"Austria";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"d6d88269-4917-4933-8218-220101bbb329";"Andrew Pitt";"Sin datos";"AU";"Australia";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 19:15";"";"";"";"";""
"20f36e92-13fb-442d-98b2-1b342010ce75";"Andrew Stroud";"Sin datos";"NZ";"New Zealand";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"ba29b4c9-8869-432e-a6af-3a661886bda1";"Andy Leuthe";"Sin datos";"LU";"Luxembourg";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"7a6795b5-1ed3-49f3-a7ca-cf76e5ca7e97";"Angelo Bergamonti";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"3e5cc30d-643a-41fd-af41-bea635ca463f";"Anssi Resko";"Sin datos";"FI";"Finland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 22:03";"";"";"";"";""
"8195e17d-3384-4125-85ba-2faede4a6964";"Anthony Gobert";"Sin datos";"AU";"Australia";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 08:50";"";"";"";"";""
"ae5c12b2-4d43-4dba-8b2e-3e214427cbbb";"Anthony West";"Sin datos";"AU";"Australia";"42";"17/07/1981";"Gold Coast";"Sin datos";"https://www.motogp.com/en/api/rider/photo/grid/old/2901";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/AU.svg";"19/9/2024 19:15";"";"";"";"";""
